PROJEKT;PROJEKT_EJER_KONTOR
000010;9
000020;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000021;9
000031;11
000031;11
000031;11
000031;11
000031;11
000031;11
000031;11
000031;11
000031;11
000031;11
000031;11
000032;11
051153;1
051153;1
051153;1
051153;1
051153;1
051153;1
060001;1
060001;1
060001;1
060001;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061000;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061101;1
061320;1
062000;1
062000;1
062010;1
062020;1
062030;1
062030;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071153;1
071159;1
071159;1
071159;1
071159;1
071159;1
071159;1
073101;10
075003;1
075003;1
075003;1
100000;9
100000;9
100000;9
100000;9
100010;9
100010;9
100066;9
100401;23
100610;1
101001;2
101001;2
101001;2
101001;2
101001;2
101001;2
101001;2
101001;2
101001;2
101001;2
101001;2
101113;15
101113;15
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101200;1
101201;1
101202;1
101202;1
101220;1
101220;1
101220;1
101250;1
101250;1
101250;1
101300;1
101300;1
101300;1
101400;2
101400;2
101400;2
101400;2
101400;2
101400;2
101400;2
101400;2
101400;2
101400;2
101400;2
101500;1
101500;1
101500;1
102010;3
102010;3
102010;3
102030;3
102030;3
102030;3
102030;3
102700;3
102700;3
103001;3
103001;3
103300;3
104300;3
104300;3
104300;3
105200;8
105200;8
105300;8
105300;8
105800;3
105800;3
105900;8
106200;8
106200;8
106200;8
106200;8
106200;8
106300;8
106300;8
107520;9
107520;9
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107800;4
107801;4
107801;4
108000;4
108000;4
108901;5
108901;5
108902;5
108902;5
109200;5
109200;5
111111;1
111111;1
111111;1
111111;1
111111;1
111200;6
111200;6
111200;6
111200;6
111200;6
111200;6
111200;6
111200;6
112000;8
112801;8
112802;8
112802;8
112802;8
113510;4
113511;4
159011;3
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
159012;11
160402;4
160402;4
160500;4
160500;4
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161300;12
161800;4
161800;4
161800;4
161800;4
161800;4
161800;4
161800;4
161800;4
161801;4
161801;4
161801;4
161801;4
161801;4
161801;4
161801;4
161801;4
161801;4
161801;4
161802;4
161802;4
161802;4
161802;4
161802;4
161802;4
161803;4
161803;4
161899;4
161900;10
161900;10
161900;10
161900;10
161900;10
161900;10
161900;10
161900;10
161900;10
161900;10
161901;10
161901;10
161901;10
161901;10
161901;10
161901;10
161901;10
161901;10
161901;10
161901;10
161901;10
161902;10
161902;10
161902;10
161903;10
161903;10
161903;10
161903;10
161903;10
161904;10
161904;10
161904;10
162801;4
162801;4
162801;4
162801;4
162802;4
162802;4
162802;4
162900;4
162900;4
162900;4
162901;4
162902;4
162950;4
163100;4
163802;4
166310;1
166310;1
166310;1
166310;1
166310;1
177001;3
177001;3
177001;3
177001;3
177001;3
177001;3
177001;3
177001;3
177001;3
179020;4
179020;4
179020;4
179020;4
179020;4
181406;2
181406;2
181406;2
181407;2
181410;2
181420;2
181420;2
181430;2
181430;2
181455;2
181490;2
190200;23
190200;23
190200;23
190200;23
190200;23
190200;23
190200;23
190200;23
190200;23
190201;23
190300;23
190300;23
190300;23
190300;23
190740;11
190740;11
190740;11
190740;11
190741;11
190741;11
190741;11
190741;11
190741;11
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191000;4
191001;4
191001;4
191002;4
191002;4
191003;4
191003;4
191009;4
191009;4
191010;4
191010;4
191011;4
191011;4
191012;4
191012;4
191013;4
191013;4
191014;4
191014;4
191014;4
191014;4
191014;4
191014;4
191014;4
191020;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191030;4
191031;4
191031;4
191049;4
191050;4
191051;4
191080;4
191080;4
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
192110;6
205610;3
205610;3
205711;3
205711;3
206810;4
206810;4
208921;5
208921;5
209020;5
209020;5
209020;5
209020;5
210100;12
210100;12
210100;12
210100;12
212800;8
212800;8
212900;8
212900;8
212900;8
212900;8
212900;8
213100;8
213300;10
213300;10
213300;10
114210;10
114210;10
114220;9
114220;9
114230;9
114230;9
115010;11
115010;11
115020;11
115020;11
115020;11
115020;11
115020;11
115310;8
115400;8
115400;8
115400;8
115500;11
115500;11
115500;11
115502;11
115502;11
115502;11
115503;11
115503;11
115503;11
115504;11
115504;11
115504;11
115505;11
115505;11
115505;11
115506;11
115506;11
115506;11
115507;11
115507;11
115507;11
115508;11
115508;11
115508;11
115509;11
115509;11
115509;11
115511;11
115511;11
115511;11
115512;11
115512;11
115512;11
115700;11
115700;11
115700;11
115700;11
116000;3
116000;3
116000;3
116000;3
116700;8
117500;11
117500;11
117500;11
117520;11
117520;11
118700;12
118700;12
118700;12
118700;12
118700;12
118700;12
118700;12
118700;12
118700;12
118700;12
118711;12
118711;12
118711;12
118711;12
118711;12
118712;12
118712;12
118712;12
118712;12
118712;12
118900;12
118900;12
119310;23
119601;11
119601;11
119602;11
120000;11
120000;11
120000;11
120002;11
120100;11
120100;11
120100;11
120101;11
120105;11
120105;11
120105;11
120110;11
120110;11
120200;11
120200;11
120400;11
