PROJEKT;DB;GBYTES
280250;EIS12;1
802900;EIS12;1
108000;EIS12;1
140701;EIS12;1
191010;EIU12;1
242907;GEO12;1
108000;EDP12;1
101400;PS212;1
161900;PS212;1
130520;PS212;1
161903;PS212;1
206810;PS212;1
161900;PST12;1
700001;PST12;1
161903;PST12;1
120100;XISTEST12;1
181410;XISTEST12;1
140701;XISTEST12;1
610010;XISTEST12;1
217401;XISTEST12;1
108000;XISTEST12;1
215510;U1012;1
111200;U1012;1
159012;U1012;1
140000;U1012;1
